,sample,mu1_1,s1_1,A1_1,mu2_1,s2_1,A2_1,fneg_1,A1+A2,A_neg,fa1,mu1_2,s1_2,A1_2,mu2_2,s2_2,A2_2,fneg_2,,,fa2,mu1_3,s1_3,A1_3,mu2_3,s2_3,A2_3,fneg_3,,,fa3
51,404_2,5.742676101,0.598220751,22633.27175,8.502393337,0.380435204,574.2678658,0.023682588,23207.53961,562.9466386,0.024158861,5.819469261,0.562530461,20953.31073,8.257058944,0.352773856,256.4099831,0.080299337,21209.72072,1851.826989,0.011118507,5.849989702,0.578922408,22310.59558,8.310319724,0.335668601,227.9192503,0.049638448,22538.51483,1177.211864,0.009610469
52,404_3,5.719753577,0.570653418,22422.9613,8.543782399,0.377794183,81.95110918,0.023399999,22504.91241,539.2329838,0.003556266,5.866944117,0.561103256,21202.91046,8.487114233,0.273841734,15.12133982,0.073066719,21218.0318,1672.5389,0.000660593,5.874799043,0.581748289,22741.82644,8.383805665,0.182259398,5.681200943,0.044291238,22747.50764,1054.207424,0.000238689
53,404_4,5.699478681,0.57072043,22409.65344,8.341706477,0.192779796,0.782052409,0.023192889,22410.4355,532.1037681,3.40874E-05,5.854573983,0.566216249,21437.30311,8.333614469,0.120426287,0.673482073,0.074182506,21437.97659,1717.749802,2.90849E-05,5.860833798,0.582460422,22661.19616,8.710673794,0.019796175,0.459205263,0.047513215,22661.65537,1130.4389,1.93007E-05
54,404G_1,5.745167757,0.631046721,18576.06986,8.39426076,0.464257194,4801.893617,0.020621952,23377.96347,492.2503959,0.201166761,5.910149275,0.624360419,19823.43044,8.225719892,0.372695085,1803.565517,0.069326618,21626.99595,1611.012544,0.07761274,5.886117381,0.612993407,20227.98957,8.281602308,0.40003643,2093.571077,0.046255936,22321.56064,1082.580443,0.089453019
55,404G_2,5.760352674,0.608807244,22702.6257,8.521323332,0.380038925,591.7129932,0.022304109,23294.3387,531.412134,0.02483502,5.886467414,0.578510861,20955.3803,8.296065186,0.351727225,323.8667749,0.070315023,21279.24708,1609.416945,0.014149658,5.868040655,0.57015251,22279.00956,8.313126616,0.396703158,307.8954056,0.045922904,22586.90496,1087.182873,0.013005587
56,404G_3,5.741166814,0.570407834,22424.08018,8.574677888,0.391829894,86.64916585,0.021712808,22510.72935,499.6192772,0.003765661,5.875297449,0.581028377,20676.23858,8.432591875,0.247188284,18.14230686,0.077053946,20694.38088,1727.710628,0.000809126,5.885202837,0.572141836,22605.73347,8.441549368,0.273419707,15.44374465,0.046306684,22621.17722,1098.373756,0.000651098
57,404G_4,5.743798488,0.568609308,22618.65906,8.811492678,0.021901932,0.450735221,0.021320215,22619.10979,492.7498123,1.95023E-05,5.864394536,0.563750957,20909.50032,8.671104831,0.018802283,0.106889416,0.06414837,20909.60721,1433.2584,4.78405E-06,5.890969098,0.577610393,22723.41965,8.92391126,0.278053124,1.593203935,0.045268811,22725.01285,1077.511987,6.69342E-05
58,404T_1,5.769762782,0.631190825,18478.71516,8.411132415,0.441901506,4963.849351,0.020870679,23442.56451,499.6911291,0.207325885,5.880962137,0.616757105,19809.02723,8.235714556,0.359408073,1770.99436,0.074208794,21580.02159,1729.793258,0.075976337,5.894658478,0.618062906,20246.31479,8.25065694,0.379001269,2016.023109,0.050023468,22262.3379,1172.28091,0.086027561
59,404T_2,5.75776484,0.602326709,22603.73191,8.510508664,0.379471583,639.7976903,0.022918097,23243.5296,545.1922385,0.026895001,5.863865725,0.57128601,20618.54308,8.250301119,0.341983104,243.9829307,0.081547131,20862.52601,1852.331449,0.010741117,5.844881055,0.567551253,22395.93137,8.312507938,0.349986632,266.7792046,0.04704783,22662.71057,1118.871844,0.011217891
60,404T_3,5.716504492,0.557060636,22403.26868,8.553594336,0.370159395,71.7976947,0.02383056,22475.06638,548.6684873,0.003118421,5.854056581,0.560114925,20650.37987,8.461491307,0.229117652,7.040464804,0.075937281,20657.42034,1697.577779,0.000314939,5.84228942,0.566598639,22549.91147,8.377457123,0.248466427,13.00510139,0.049758589,22562.91658,1181.488067,0.000547712
